
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1965  -80.5780   -0.6    0.3  311.8   31.5   964.6   12.5   71.6                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     9    11  2017     0     0   725  1333  1842     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     1     0     0  5403  5204  5301    29   213  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    96    95    96     0    60 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200  3012   715    69    -4    15     3   135     2  -397 -9999
   190  2794   671    69    -5    12     1   126     4  -373 -9999
   180  1134   624    69    -3    19     4   117     3  -349 -9999
   170   636   577    69    -5    12     5   109     7  -324 -9999
   160   752   530    69    -7     3     6   100     5  -300 -9999
   150   870   483    70    -9    11     9    91     6  -275 -9999
   140  1151   444    73   -12    12     5    82     6  -251 -9999
   130  1356   405    74   -13    10    17    72     9  -225 -9999
   120  1464   365    75   -12     6    21    52    22  -206 -9999
   110  1616   326    78   -14     2    33    40    48  -187 -9999
   100  1726   278    82   -11     1    40    35    78  -166 -9999
    90  1725   231    85    -6     2    27    19    75  -145 -9999
    80  1532   183    78    -4     6    25     1    63  -118 -9999
    70  1373   123    67    -2     8    17    11    57   -91 -9999
    60  1087    75    55    -3    10    28    22    40   -53 -9999
    50   724    51    52    -6    12    13    19     8   -23 -9999
    40   505    51    52    -7    13     7    11     5   -18 -9999
    30   253    62    45    -5    15     7    18     3   -22 -9999
    20    92    67    38    -2    20     3    23     5   -24 -9999
    10    89    58    16     0    27     0    26     1    -9 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1965  -80.5780   -0.6    0.3  311.7   31.2   964.7   12.2   71.2                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     9    11  2017     0    10   786  1594  1849     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5303  5405  5301    29   213  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8   106    95    96     0    60 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

