
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5784    0.5    0.9  348.1   43.5   952.4   27.4   63.0                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573    11    12  2000     0     0   270   626   500     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5706  5403  5500    29    76  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     9     8     8    94    96    97     0    59 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200   417   568   253   -28    29     1 -9999     1 -9999    35
   190    77   570   252   -26    30     1 -9999     1  -255    36
   180    83   575   251   -25    32     0 -9999     0  -256    36
   170    99   580   250   -28    34     1    79     3  -257    35
   160   120   585   249   -25    32     0    84     1  -258    38
   150   141   588   249   -19    30     1    89     0  -259    40
   140   157   588   248   -12    37     1    95     2  -260    34
   130   165   574   246   -16    42     1   100     3  -261    37
   120   166   572   245   -18    45     2   105     4  -262   184
   110   159   558   244   -15    45     3   110     4  -250   582
   100   171   549   242   -16    37     7   115     8  -247   234
    90   167   531   241   -18    34     5   120    12  -234    55
    80   149   504   241   -22    38     2   122    16  -230    64
    70   134   501   242   -31    42     4   119    14  -209    24
    60   130   475   247   -30    44     6   115    29  -209    23
    50   130   471   247   -25    46     9    85    29  -208   102
    40   132   463   246   -23    48     8    89    19  -206   390
    30   106   436   246   -20    48     5    86    15  -198   242
    20   123   397   245   -16    44     3    82     9  -176   111
    10   207   352   248   -14    35     0    64     1  -155 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5784    0.5    0.9  348.1   43.5   952.2   27.5   61.7                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573    11    12  2000     0     5   195   493   395     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  6905  6809  7103    29    76  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     9     8     8    93    95    95     0    82 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200   424   405   240   -33     6     2 -9999     2 -9999   210
