
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1965  -80.5780   -0.5    0.3  311.8   29.6   964.8   11.0   74.1                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     9    10  2017     0     0   876  1428  2014     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     2     1     0  5303  5305  5403    29   109  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    96    95    96     0    60 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200  5140   650    67    -7    16     1    88     1  -313    14
   190  4880   640    66    -7    17     4    95     5  -306    12
   180  2196   623    66    -7    18     2   101     2  -298    16
   170  1292   597    66    -7    17     2   107     2  -291    12
   160  1609   559    66    -9    14     7   113     6  -283     6
   150  1849   502    66   -10    10    13   101     9  -276     2
   140  1914   425    69   -11     8    32   100    25  -258     1
   130  1860   361    72   -11     5    45    94    49  -231     1
   120  1694   306    74   -12     1    54    62    63  -195     0
   110  1397   251    75   -13     1    56    41    92  -163     0
   100  1082   194    77   -13     1    38    30    84  -134     0
    90   781   136    77   -13     1    26    19    62  -104     0
    80   531    72    72   -14     1    21    11    35   -74     0
    70   428    40    69   -14     1    17     9    12   -33     0
    60   382    20    29   -15     1    15     6     3   -16     0
    50   366     9   101   -15     1     8     8     5    -1     0
    40   301     8   121   -15     1    20    -5    12    -5     0
    30   216    11   304   -14    10    11     3     1    -1 -9999
    20   136    36   277   -13    19     3     3     1    14 -9999
    10    72    59   271   -10    28     1     2     1    29 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1965  -80.5780   -0.5    0.3  311.9   29.4   964.8   10.8   74.0                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     9    10  2017     0    10   902  1050  1984     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     2     1     0  5303  5304  5503    29   109  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    95    95    96     0    61 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200  4142   600    63     0    30     2    92     1  -246 -9999
