
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     6     5  2013     0    30   358   528   843     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5302  5102  5101     0    66   902

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     9     9     9    69    49    59     0    52 11100

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  DTDZ

   400 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   280 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   260  4813   881   132     3   -10    39 -9999     1
   240  3135   835   134     4    -7    40 -9999     1
   220  2227   788   136     4    -6    38 -9999     3
   200  1559   740   138     4    -6    36 -9999     3
   180  1371   690   141     4    -2    41 -9999    -3
   160  1242   665   141     4     1    42 -9999    -5
   140  1319   655   140     4    -5    32 -9999    -4
   120  1424   639   141     4    -9    26 -9999    -3
   100  1573   624   141     4    -8    24 -9999    -2
    80  1351   606   141     4    -9    24 -9999    -2
    60   870   578   142     3   -10    26 -9999    -2
    40   849   526   142     4   -11    26 -9999    -1
    20   946   454   142     4   -11    25     0     0
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   48.7846    2.2189   88.4    0.7  163.8   49.0   997.2   27.5   29.9                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     6     5  2013     0    40   425   520   967     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     2     1     0  5302  5102  5102     0    66   902

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     9     9     9    59    59    69     0    53 11100

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  DTDZ

   400 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   280  5419   817   147 -9999   -13 -9999 -9999 -9999
   260  4911   811   148     4     2    53 -9999    -2
   240  1877   805   149     4     0    55 -9999    -7
   220  1147   799   150     4     2    53 -9999    -8
   200  1128   794   151     4     4    50 -9999    -5
   180  1244   810   150     4     2    55 -9999    -6
   160  1346   773   147     4    -2    58 -9999    -6
   140  1368   714   144     4   -10    45 -9999    -6
   120  1448   700   143     4   -15    35 -9999    -5
   100  1620   684   143     4   -15    26 -9999    -3
    80  1398   662   143     4   -16    24 -9999    -2
    60   901   618   143     3   -18    25 -9999    -1
    40   836   553   143     4   -19    27 -9999    -2
    20   883   474   142     4   -19    29     0    -2
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   48.7846    2.2189   88.4    0.7  163.8   48.9   997.1   27.5   29.9                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     6     5  2013     0    50   363   492  1027     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     3     1     0  5202  5102  5001     0    66   902

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     9     9     9    59    69    79     0    52 11100

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  DTDZ

   400 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   280  5764   840   154 -9999    -2 -9999 -9999 -9999
   260  5353   871   154     4    12    54 -9999    -1
   240  2488   898   154     4    17    55 -9999    -5
   220  1824   914   156     4    15    53 -9999    -3
   200  1842   912   157     4     9    50 -9999     2
   180  1570   872   152     4     2    56 -9999    -3
   160  1357   811   149     4    -3    59 -9999    -6
   140  1462   739   148     3    -8    45 -9999    -5
   120  1585   729   146     3   -12    35 -9999    -4
   100  1736   712   145     3   -16    30 -9999    -3
    80  1482   690   145     3   -17    26 -9999    -2
    60   946   647   145     4   -17    22 -9999     1
    40   809   578   144     4   -21    25 -9999    -2
    20   777   486   142     4   -25    29     0    -4
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   48.7844    2.2189   88.4    0.7  163.8   48.9   997.0   27.5   30.0                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     6     5  2013     1     0   382   452   718     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     3     1     0  5202  5102  5001     0    66   902

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     9     9     9    59    69    79     0    52 11100

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  DTDZ

   400 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   280  3335   796   143 -9999     9 -9999 -9999 -9999
   260  1352   801   145     4    26    30 -9999   -10
   240  1825   693   140     4    21    32 -9999    -4
   220  1836   767   147     4    19    33 -9999     1
   200  1705   909   153     4    14    34 -9999     5
   180  1495   883   150     3     4    36 -9999     0
   160  1348   837   149     3    -6    37 -9999    -3
   140  1503   778   149     4    -9    39 -9999    -4
   120  1623   769   147     4   -13    37 -9999    -4
   100  1688   750   146     4   -20    28 -9999    -3
    80  1427   723   146     3   -22    26 -9999    -2
    60   937   662   145     3   -23    28 -9999    -2
    40   740   596   145     4   -21    30 -9999    -4
    20   619   529   146     4   -18    32     0    -7
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   48.7846    2.2189   88.4    0.7  163.7   48.8   997.0   27.4   30.2                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     6     5  2013     1    10   381   395   792     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     1     0     0  5202  5102  5102     0    66   902

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     9     9     9    49    69    69     0    52 11100

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  DTDZ

   400 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   280  5933   981   148 -9999    10 -9999 -9999 -9999
   260  4290   940   148     4    20    26 -9999     3
   240  2578   901   147     4    20    27 -9999     2
   220  2091   913   149     4     6    29 -9999     5
   200  1983   928   151     4   -14    30 -9999    10
   180  1697   807   147     4   -17    27 -9999     5
   160  1484   758   148     4   -18    26 -9999     2
   140  1637   746   150     4   -18    32 -9999    -1
   120  1721   714   149     4   -18    35 -9999    -3
   100  1692   694   148     4   -17    32 -9999    -4
