
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5784    0.6   -1.0  351.2   28.1   955.1   12.8   47.9                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     7    24  2002     0     0   296   226   196     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     1     0     0  5203  5202  5100    29    66  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     9     9     9   105    96    97     0    56 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   190 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   170 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   150  1316   503   135   -25    50     0 -9999     1 -9999     2
   140  1247   501   134   -24    48     0   175     3 -9999     2
   130  1179   499   133   -23    46     0   170     2   169     2
   120  1110   497   132   -23    44     1   165     1   172     1
   110   611   494   131   -22    42     2   160     4   174     2
   100   166   494   130   -21    40     2   156     2   177     2
    90   185   492   129   -23    38     0   151     2   180     1
    80   181   490   128   -23    40     0   146     3   182     4
    70   171   491   127   -22    40     6   141     3   185     8
    60   161   495   126   -18    42     4   140     2   188    15
    50   165   505   125     0    52     9   137    11   192    37
    40   125   509   124     3    54    17   140    11   203    77
    30   106   489   124     4    55    10   131    10   197   105
    20   139   452   125     7    56    10   124     7   176 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5784    0.6   -1.1  351.2   27.8   954.9   12.7   47.5                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     7    24  2002     0     5   182   171   170     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     1     0     0  6910  6004  6900    29    66  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     9     9     9   105    96    97     0    70 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   190 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   170 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   140 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   130  2191   490   122   -22    42     1   122     2 -9999     9
   120  1894   498   125   -19    45     2   116     3   198     9
   110  1018   509   127   -22    48     0   128     0   196     9
   100   248   518   129   -22    49     2   140     1   194     9
    90   173   523   130   -11    43     1   152     0   192     8
    80   162   495   127   -10    45     0   164     2   191    11
    70   163   486   126    -6    49     1   140     2   189    10
    60   168   478   125     1    55     0   135     4   187    11
    50   161   472   125    13    58     0   129     3   185    38
    40   128   463   125    19    60     1   128     6   184    75
    30   109   439   125    21    59     3   123     8   177    99
    20   122   384   124    21    54     4   103     3   151 -9999
$
