
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1968  -80.5777    0.1   -0.1  281.5   41.8   957.9   20.8   63.8                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    18  2017     0     0   688   439  1405     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     2     1     0  5403  5603  5200    29  1385  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    96    96    96     0    57 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   140   326    84   178    -5    18     4     0     6    55     0
   130   311    86   183    -7    10    10    -1     8    46     0
   120   324    66   189   -10     1     6     3    12    40     0
   110   402    61   188    -9     1     6     8    10    42     0
   100   447    45   200   -11     1    13    10    27    28     0
    90   495    23   206   -12     1     5     7    29    28     0
    80   553    22    99   -11     1     8    13    28    11     0
    70   514    26    73    -9     1    14    -9     9     3     0
    60   453    29   151    -8     2    50   -13     8    -5     0
    50   374    55   163    -7     2    51    -4     5    16     0
    40   282    63   168    -9     1    48    -4    10    31     0
    30   184    59   166    -6     3    35     0     8    30     0
    20   109    50   150    -4     7    27    -8     7    27     0
    10    72    23   104    -2    13     2   -10     3     4 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1968  -80.5777    0.1   -0.1  281.7   41.6   958.1   20.3   63.9                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    18  2017     0    10   437   710  1371     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     1     0     0  5602  5703  5300    29  1575  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    96    96    96     0    59 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   140   432   175   195    -9    16    16    79     4    80     9
   130   452   164   195    -8     9    10    47    14    79     1
   120   494   130   190    -8     1    19    32    12    79     0
   110   562   102   186    -7     1    10    30    25    74     0
   100   582    73   185    -7     1    16    17    29    57     0
    90   549    38   191    -6     1    13    10    49    42     0
    80   461    12   293    -7     1     3     6    30    26     0
    70   462    19   339    -9     1     5     6    14    -3     0
