
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1965  -80.5780   -0.5    0.1  311.5   39.7   951.0   20.0   75.7                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     9     6  2017     0     0   661  1060   785     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5902  6003  5702    29  3104  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8   105    97    97     0    67 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   190  1658   558   264    10    17     2   -19     0   221    64
   180   406   583   264    11    16     0   -18     3   236    17
   170   327   547   263    10    18     1   -17     4   251    93
   160   425   509   261     8    19     4   -15     1   266   103
   150   500   473   259     8    18     6   -14     6   281    13
   140   562   437   257     7     5     7   -17    13   251     4
   130   531   411   256     6     1     6   -33    14   231     1
   120   450   378   258     4     4    11   -34    19   207     3
   110   379   354   259    -2    14    10   -38    20   191    11
   100   299   342   254    -8    10    13   -25    24   174     5
    90   233   335   247   -13     4    10   -20    34   163     0
    80   191   316   243   -16     1     5   -50    28   155     0
    70   287   286   240   -20     1    23   -62    26   140     0
    60   342   263   237   -21     1    25   -63    39   121     0
    50   356   249   235   -22     1    33   -63    57   107     0
    40   312   231   233   -20     1    57   -62    64    98     0
    30   211   200   231   -18     1    36   -63    42    84     0
    20   127   147   233   -14     7    10   -46    13    64     0
    10    87    74   252    -6    24     2    -9     2    34 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1965  -80.5780   -0.5    0.1  311.4   40.0   951.1   20.4   75.0                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     9     6  2017     0    10   768  2002  1421     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5903  5903  5903    29  3104  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8   104    96    97     0    68 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   190  2645   623   259   -13    29     0   -50     1   309   192
   180  2817   614   258   -13    27     2   -46     2   303   165
   170  1502   603   260   -12    26     1   -42     2   298   208
