
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1965  -80.5780   -0.5    0.2  311.8   28.9   960.1   11.0   75.3                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     9     8  2017     0     0   207   763  1327     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     2     0     0  5503  5304  5301    29   152  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    96    95    96     0    61 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200  2876   343   269    10    18     1   -35     8    97    27
   190  3082   420   261     9    14     3   -21     8    69    21
   180  1109   434   262    12    23     2    43     7   116    34
   170   635   416   273     9    15     3     7     2   163    23
   160  1153   386   279     3     1     1   -28     6   207     1
   150  1456   340   273     1     1     2   -15     6   208     1
   140  1325   302   272    -1     1     2    50     9   190     0
   130  1052   262   273    -2     1     5    19    20   167     0
   120   717   227   276    -3     1    12    13    46   145     0
   110   424   168   277    -2     1     8    14    58   122     0
   100   282   107   268    -3     1     4    16    37   102     0
    90   235    51   243    -6     1     1    11    15    64     0
    80   248    24    72    -9     1     1   -15     4    34     0
    70   365    66    19   -10     1     1    -1     4   -13     0
    60   402    71    20   -10     1     6    32     4   -13     0
    50   364    78    35    -9     1     7    32     2   -13     0
    40   334    78    35    -6     1    15    29    13   -28     0
    30   215    56    31    -7     1     8    30    16   -17     0
    20   112    13    69    -7     1     1     4     4   -12     0
    10    78    38   258    -5     1     3    -3     4    18 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1965  -80.5780   -0.5    0.2  311.8   28.9   960.2   10.9   74.1                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     9     8  2017     0    10   356   591  1294     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     2     0     0  5303  5204  5302    29   152  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    96    95    96     0    61 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200  2611   407   268   -34    28     2    -6     1   215 -9999
   190   682   398   260   -40    26     3    -2     3   208 -9999
