
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.0    0.0  337.5   19.4   961.2   10.6   55.1                    
     1     0     0     0  5902  5505  5201     0   159  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   117   109   108     0    58 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   182  3594   801   268   -74    96   152   103    37
   172  4027   760   269   -66    96   148   106    36
   162  3531   721   269   -47    95   163   109    40
   152  3070   683   270   -29    95   172   111    54
   142  2688   674   274   -12    97   169   111    92
   132  2400   684   277    -6    97   163   107   102
   122  2203   691   279    -9    93   152    97    87
   112  2113   705   279   -16    90   147    96    86
   102  2064   716   277   -27    87   144    98    87
    92  2052   701   275   -42    83   149    92    63
    82  2033   707   273   -55    79   154    88    44
    72  1959   718   272   -59    75   152    95    63
    62  1965   708   274   -60    73   153    99    75
    52  2114   690   272   -58    72   160    98    78
    42  1859   665   269   -55    74   158    93    71
    32  1304   634   271   -51    77   151    86    49
    22  1090   626   273   -52    81   143    81 -9999
    12   968   642   273   -56    85   134    77 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.1   -0.1  344.1   24.9   961.0   12.2   50.5                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  7958    11    10  2016    10    30   240   492   611     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     0     0     0  5302  5605  5301     0   159  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   117   118   108     0    60 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   182  3305   440   273   -56   105 -9999 -9999 -9999
   172  3821   427   278   -64    92   114   143   186
   162  3227   442   279   -60    81   119   139   177
   152  2622   507   273   -53    72   125   135   169
   142  1989   556   270   -39    65   132   130   158
   132  1521   602   268   -27    64   138   132   161
   122  1210   650   264   -15    71   145   142   179
   112  1273   686   263   -12    68   138   132   159
   102  1477   692   264   -12    62   126   115   122
    92  1744   643   264   -14    57   126   129    83
    82  2013   595   259   -16    55   129   143    49
    72  2272   555   253   -21    67   131   136    38
    62  2364   531   250   -26    79   139   134    30
    52  2162   523   251   -31    94   159   141    16
    42  1799   530   254   -34   102   172   143    52
    32  1318   530   256   -38   106   180   143   145
    22  1006   518   260   -38   105   183   139 -9999
    12   740   499   263   -38   102   184   133 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.0   -0.1  344.2   25.5   960.9   13.0   47.3                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  7957    11    10  2016    10    40   229   539   673     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     0     0     0  5504  5504  5301     0   139  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     8     9     9   117   118   118     0    60 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   182 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   172 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   162  4981   593   258    -5   105   167   108   102
   152  4009   620   259    -3   103   163   105   101
   142  3086   647   259     7   102   158   103   126
   132  2335   670   259    14    98   161   100   114
   122  1735   697   260    20    90   170    97    67
   112  1643   661   259    18    88   160   101   119
   102  1729   610   259    13    89   143   107   201
    92  1815   598   259    10    90   148   122   161
    82  1886   567   257     8    90   156   134   109
    72  1882   532   255     9    87   165   132    63
    62  1887   512   256     8    86   165   127    56
    52  1910   497   258     4    88   144   115   132
    42  1678   486   262     4    86 -9999 -9999 -9999
    32  1262   461   261     6    80 -9999 -9999 -9999
    22  1372   451   263     1    79 -9999 -9999 -9999
    12  1621   456   267    -6    79 -9999 -9999 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.1    0.0  344.3   26.3   960.7   13.6   48.0                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  7956    11    10  2016    10    50   345   666   707     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     0     0     0  5003  5004  4901     0   139  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     8     9     9   118   118   118     0    53 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   182  2798   696   245   -35    88   159   103   127
   172  3388   689   242   -37    89   159   103   127
   162  2598   692   242   -36    78   159   103   128
   152  2008   718   250   -42    73   156   105   121
   142  1792   642   255   -64    77   149   113    96
   132  1474   591   259   -73    80   142   119    74
   122  1072   643   258   -74    82   133   125    50
   112  1017   615   257   -69    84   137   127    82
   102  1071   579   255   -62    86   143   128   125
    92  1171   588   256   -63    85   130   127    69
    82  1280   567   253   -63    84   118   127    35
    72  1426   541   248   -57    81   123   128   143
    62  1518   539   245   -53    79   126   129   164
    52  1524   511   238   -50    80   125   130    12
    42  1340   479   229   -44    73 -9999 -9999 -9999
    32  1023   477   228   -34    59 -9999 -9999 -9999
    22   967   462   230   -25    55 -9999 -9999 -9999
    12   980   440   235   -15    53 -9999 -9999 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.0   -0.1  344.1   27.1   960.6   13.8   45.5                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  7955    11    10  2016    11     0   433   459   703     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     0     0     0  5004  5104  4900     0   139  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     8     9     9   117   107   109     0    52 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   182  3449   247   268   -50    99 -9999 -9999 -9999
   172  4924   253   266   -50   101 -9999 -9999 -9999
   162  4006   248   265   -56    99 -9999 -9999 -9999
   152  3168   220   268   -59    97 -9999 -9999 -9999
   142  2483   220   271   -59    97 -9999 -9999 -9999
   132  1747   236   278   -61    93   192   117   107
   122   971   281   290   -66    84   187   116   117
   112   830   330   286   -67    81   182   116   106
   102   888   379   280   -66    81   178   115    91
    92  1039   428   275   -67    81   173   114   123
    82  1184   446   273   -67    80   168   113   139
    72  1290   437   271   -63    80   164   112    63
    62  1359   397   269   -58    82   159   113    38
    52  1369   379   268   -54    90   154   115    87
    42  1188   373   266   -44    92   152   113   130
    32   872   358   269   -29    90   152   107   187
    22   883   329   266   -26    93   162   103 -9999
    12   980   299   257   -27    97   177    99 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.1   -0.1  344.4   27.8   960.5   14.2   47.1                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  7954    11    10  2016    11    10   446   362   907     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     0     0     0  5003  5104  4900     0   235  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     7     9     9   118   108   119     0    53 10100

