
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1965  -80.5780   -0.3    0.0  311.1   35.8   954.0   29.7   47.9                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     9     4  2017    16     0   123   435   502     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5703  5103  5400    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   122   123   105     0    62 10095

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   190   932   447   272   -44   103     2    16     0   245 -9999
   180   911   430   272   -47    99     1    17     1   235 -9999
   170   890   414   273   -37    95     1    18     3   224 -9999
   160   477   394   272   -48    91     3    19     2   214   225
   150    75   405   273   -52    87     0    17     1   203   216
   140    97   437   276   -11    83     2    21     2   193   206
   130   105   452   277    -6    79     1    13     6   183   196
   120   117   431   269    -8    70     2    29     5   203   198
   110   138   421   263   -12    57     1    43     4   214   213
   100   179   403   265   -13    67     2     7     3   205   177
    90   201   395   267   -16    69     3   -21     3   198   203
    80   211   393   261   -21    64    10     4     8   188   246
    70   226   409   246   -24    64     9    -4    23   187    93
    60   231   381   247   -29    60    10   -74    24   183    73
    50   235   370   248   -33    57    15   -62    27   170    97
    40   250   352   254   -30    57    14   -54    31   165   115
    30   202   328   260   -26    64     6   -25    21   161 -9999
    20   175   299   262   -23    65     4   -12    18   143 -9999
    10   189   285   261   -21    57     2   -13     5   135 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1965  -80.5780   -0.3    0.0  311.2   39.0   953.9   30.2   48.6                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     9     4  2017    16    10   364   523   709     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     0     0     0  5403  5604  5401    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   105    95    96     0    61 10091

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   190  1380   407   223   -57    69     1 -9999     2 -9999 -9999
