
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1968  -80.5777    0.0    0.0  282.6   26.0   958.6   20.4   71.4                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    17  2017     7    40   315   232  1520     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5602  5304  5300    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   122   113   106     0    58 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

    30   372   139   105   -28     9     6   -63    11    29     1
    20   374   128    99   -26     3     4   -57    17    18     0
    10   583   142    97   -24     9     3   -65     5    18 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1968  -80.5777    0.0   -0.1  281.8   37.4   959.0   24.0   65.5                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    17  2017     8    20   250   487   652     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     2     1     0  5703  5304  5201    29   217  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    95    95    86     0    56 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   140   198    67   294   -11     1     6    29     3   -19    41
   130   196    88   287   -12     1     9    34     1   -18    44
   120   181    37   314   -15     1     8    25     1   -17    45
   110   183    55   129   -23     2     4    43     6   -19    35
   100   366    84   140   -19     9     7     7     6   -15    54
    90   585    65   172   -16    12     6   -29     4    33    45
    80   818    65   217   -15    10     1   -15     6    37     5
    70  1004    57   174   -11    13     7    28    24    21     3
    60  1011    54   144    -7    17    10     2    34    28     3
    50   920    66   141    -2    21    28   -14    35    22    36
    40   824    76   133     7    30    30   -17    35    29   187
    30   638    85   126    25    27    17   -28    29    26    91
    20   657    92   129    31    24    12   -32    17    29     7
    10   990   102   142    18    27     5   -24     7    42 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1968  -80.5777    0.0   -0.1  281.6   39.0   959.1   24.5   62.2                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    17  2017     8    30   418   444   852     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     1     0     0  5302  5105  5201    29   248  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    94    94    96     0    55 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   140   106    80   178     9     1     8     4     4    41     8
   130   198    84   176     7     1     4     3     2    39    10
   120   293    75   182     3     7     6     4     2    37    10
   110   326    92   172    -4    24     7     2     2    41     6
   100   517    80   170    -5    29     4     7     8    34    12
    90   677    55   170    -6    32     2    -2    18    48    67
    80   788    40   166    -6    34     8    -1    24    29   150
    70   878    35   158    -1    37    18    -1    38    20    53
    60  1019    40   114     1    38    32    -2    39    16    54
    50  1098    63   119     2    39    29   -18    25     8    85
    40   910    76   101     2    39    38   -27    21    23    67
    30   679    91    86     5    39    20   -41    11     3   114
    20   536   101    84     3    40    11   -46     7     5   149
    10   529   124    71    -4    43     7   -58     3   -11 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1968  -80.5777    0.0   -0.1  281.4   40.5   959.1   25.6   59.6                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    17  2017     8    40   268   359   928     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     1     0     0  5402  5104  5301    29   248  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    93    94    95     0    57 10095

