
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.2021  -80.5921    1.4    1.4  329.6   17.0   952.3   20.4   41.2                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  8000    11     8  2016    18    40   155    88   155     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5405  5504  5501    24 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   115   115   117     0    61 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   190 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   170 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   140  1649   349     1    19    83     2 -9999     0 -9999 -9999
   130   830   326     1    14    78     1  -176     2     3 -9999
   120   270   302     1    16    74     1  -162     1     1 -9999
   110   296   290     0    27    69     0  -148     0     4 -9999
   100   365   332     3    27    62     3  -134     3    -1 -9999
    90   457   286   360    30    50     6  -162     5     9 -9999
    80   562   258     2    33    38     7  -131     9    -2 -9999
    70   663   241     6    25    36    13  -118     2     7 -9999
    60   593   231     8    23    35    14  -109     9    16 -9999
    50   536   226     6    22    35    14  -109     6    19 -9999
    40   556   208   349    19    35     8   -97     4   -19 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.2021  -80.5921    1.4    1.3  330.9   21.9   951.9   20.0   41.8                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  7999    11     8  2016    18    50   296   154   438     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5405  5504  5401    24 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   114   114   116     0    61 10100

