
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
  999.0000  999.0000    0.0    0.0  348.3   22.5  1011.7   22.9   46.0                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 31482    10    27  2016     7    40     0     0     0     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5103  5102  5400     1 -9999  9062

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   125   124   117     0    52 10100

   ALT    CT SPEED   DIR     W

    40 -9999 -9999 -9999 -9999
    20 -9999 -9999 -9999 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
  999.0000  999.0000    0.0    0.0  351.8   41.5  1012.5   25.3   41.7                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 31472    10    27  2016     9    40     0     0     0     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5103  5103  5300     1 -9999  9062

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   126   124   119     0    53 10100

   ALT    CT SPEED   DIR     W

   400 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999
   280 -9999 -9999 -9999 -9999
   260 -9999 -9999 -9999 -9999
   240 -9999 -9999 -9999 -9999
   220 -9999 -9999 -9999 -9999
   200 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999
   140 -9999 -9999 -9999 -9999
   120 -9999 -9999 -9999 -9999
   100 -9999 -9999 -9999 -9999
    80 -9999 -9999 -9999 -9999
    60 -9999 -9999 -9999 -9999
    40 -9999 -9999 -9999 -9999
    20 -9999 -9999 -9999 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
  999.0000  999.0000    0.0    0.0  351.8   42.3  1012.5   25.3   41.3                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 31471    10    27  2016     9    50     0     0     0     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5103  5103  5300     1 -9999  9062

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   118   118   119     0    53 10100

   ALT    CT SPEED   DIR     W

   400 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999
   280 -9999 -9999 -9999 -9999
   260 -9999 -9999 -9999 -9999
   240 -9999 -9999 -9999 -9999
   220 -9999 -9999 -9999 -9999
   200 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999
   140 -9999 -9999 -9999 -9999
   120 -9999 -9999 -9999 -9999
   100 -9999 -9999 -9999 -9999
    80 -9999 -9999 -9999 -9999
    60 -9999 -9999 -9999 -9999
    40 -9999 -9999 -9999 -9999
    20 -9999 -9999 -9999 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
  999.0000  999.0000    0.0    0.0  351.9   42.7  1012.4   25.3   41.3                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 31470    10    27  2016    10     0     0     0     0     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5103  5103  5300     1 -9999  9062

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   118   118   119     0    53 10100

   ALT    CT SPEED   DIR     W

   400 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999
   280 -9999 -9999 -9999 -9999
   260 -9999 -9999 -9999 -9999
   240 -9999 -9999 -9999 -9999
   220 -9999 -9999 -9999 -9999
   200 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999
   140 -9999 -9999 -9999 -9999
   120 -9999 -9999 -9999 -9999
   100 -9999 -9999 -9999 -9999
    80 -9999 -9999 -9999 -9999
    60 -9999 -9999 -9999 -9999
    40 -9999 -9999 -9999 -9999
    20 -9999 -9999 -9999 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
  999.0000  999.0000    0.0    0.0  351.8   43.0  1012.5   25.4   41.3                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 31469    10    27  2016    10    10     0     0     0     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     2     0     0  5103  5103  5300     1     0  9062

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   118   117   119     0    53 10100

   ALT    CT SPEED   DIR     W

   400 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999
   280 -9999 -9999 -9999 -9999
   260 -9999 -9999 -9999 -9999
   240 -9999 -9999 -9999 -9999
   220 -9999 -9999 -9999 -9999
   200 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999
   140 -9999 -9999 -9999 -9999
   120 -9999 -9999 -9999 -9999
   100 -9999 -9999 -9999 -9999
    80 -9999 -9999 -9999 -9999
    60 -9999 -9999 -9999 -9999
    40 -9999 -9999 -9999 -9999
    20 -9999 -9999 -9999 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
  999.0000  999.0000    0.0    0.0  351.8   43.2  1012.4   25.3   41.4                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 31468    10    27  2016    10    20     0     0     0     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5203  5103  5300     1     0  9062

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   118   118   119     0    53 10100

   ALT    CT SPEED   DIR     W

   400 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999
   280 -9999 -9999 -9999 -9999
   260 -9999 -9999 -9999 -9999
   240 -9999 -9999 -9999 -9999
   220 -9999 -9999 -9999 -9999
   200 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999
   140 -9999 -9999 -9999 -9999
   120 -9999 -9999 -9999 -9999
   100 -9999 -9999 -9999 -9999
    80 -9999 -9999 -9999 -9999
    60 -9999 -9999 -9999 -9999
    40 -9999 -9999 -9999 -9999
    20 -9999 -9999 -9999 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
  999.0000  999.0000   -0.2   -0.5  295.1   39.7  1012.4   25.8   41.3                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 31467    10    27  2016    10    40   263   561   552     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5503  5403  5501     1 -9999  9062

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   125   126   118     0    58 10100

   ALT    CT SPEED   DIR     W

   400 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999
   280 -9999 -9999 -9999 -9999
   260 -9999 -9999 -9999 -9999
   240 -9999 -9999 -9999 -9999
   220 -9999 -9999 -9999 -9999
   200  4851    83   105   -25
   180   382    90   102   -23
   160   708   100    53   -22
   140   890    85    60   -21
   120   660    68    69   -17
   100   409    93    71   -14
    80   319   125    84   -16
    60   352   123    97   -26
    40   374   117    81   -29
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
  999.0000  999.0000   -0.2   -0.5  294.8   42.0  1012.2   25.7   41.2                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 31466    10    27  2016    11     0   134   331   430     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5603  5602  5701    24 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   115   125   118     0    60 10100

   ALT    CT SPEED   DIR     W    SU    SV  U'V'  U'W'

   400 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   280 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   260 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   240 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   220 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   200 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   180   323   231   106   -27     2   -26    19    74
   160   786   217   112   -27    14   -32    19    73
   140   914   172    81   -27     4   -50    18    76
   120   790   166    69   -28     9   -58    15    79
   100   625   191    57   -30     6   -61    14    88
    80   508   218    55   -35     9   -68    12   104
    60   369   259    56   -33     3   -71    10    98
    40   452   279    55   -22     2   -77     5   108
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
  999.0000  999.0000   -0.2   -0.5  294.9   42.5  1012.2   25.8   41.0                    

