
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1965  -80.5780   -0.5    0.2  311.8   30.6   963.0   11.9   73.0                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     9     9  2017     0     0  1353   815  2054     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     2     1     0  5203  5304  5201    29   161  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8   105    96    96     0    60 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200   800   544   356     4    23     3   256     1    -6     5
   190   944   548     2    -1    26     3   257     2    -2    13
   180  1042   545   342     1    26     3   258     3   -11    34
   170  1058   555   336    -1    26     4   259     4     7    38
   160  1032   539   338    -3    26     6   261     4   -28    30
   150  1030   504   342    -3    26    13   247    11   102    16
   140  1078   470   350    -2    24    28   248    17    91    21
   130  1136   433   356    -1    22    29   235    18    73    19
   120  1220   396     1     2    20    37   224     8    29     8
   110  1571   330     4     0    19    42   205    12    -2    10
   100  1774   270     1    -3    19    45   184    14   -18    13
    90  1844   223   356    -6    19    52   138    24   -20    13
    80  1764   160   359    -8    14    53   116    21     2     3
    70  1659    87    11   -11    12    38    81    22    -1     1
    60  1455    54    25   -12    15    25    36    40   -10     2
    50  1169    54    59   -11    20    26    18    32   -12     6
    40   883    64    68   -14    20    19     8    28   -29    26
    30   569    66    70   -15     9    22    11    33   -29    13
    20   324    66    78   -15     4    18     5    15   -34     0
    10   203    38    81   -13    11     3     2     3   -18 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1965  -80.5780   -0.5    0.2  311.8   30.5   963.0   11.9   73.5                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     9     9  2017     0    10  1657   921  2089     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     2     1     0  5203  5203  5402    29   161  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    96    95    96     0    60 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
