
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5784    0.0   -1.0  341.9    7.8   957.3    4.1   75.3                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     7    23  2002     9    30    53    63     8     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5103  5103  4900    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   116   116   109     0    55 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   190 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   170 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   160 -9999   656   330 -9999 -9999     2 -9999     0 -9999 -9999
   150 -9999   653   328 -9999 -9999     0 -9999     0 -9999 -9999
   140 -9999   650   325 -9999 -9999     1  -274     1  -151 -9999
   130 -9999   649   322 -9999 -9999     1  -263     2  -165 -9999
   120 -9999   650   320 -9999 -9999     1  -252     2  -179 -9999
   110 -9999   652   317 -9999 -9999     2  -241     0  -193 -9999
   100 -9999   655   314 -9999 -9999     1  -231     0  -206 -9999
    90 -9999   663   312 -9999 -9999     2  -220     2  -220 -9999
    80 -9999   704   313 -9999 -9999     3  -209     3  -234 -9999
    70 -9999   705   311 -9999 -9999     3  -231     6  -248 -9999
    60 -9999   690   313 -9999 -9999     8  -215     5  -258 -9999
    50 -9999   707   317 -9999 -9999     4  -226     1  -233 -9999
    40 -9999   734   319 -9999 -9999     6  -269     6  -229 -9999
    30 -9999   713   318 -9999 -9999     7  -255     3  -227 -9999
    20 -9999   697   319 -9999 -9999     2  -252     4  -216 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5784    0.1   -1.0  349.2    9.6   957.4    4.2   76.0                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     7    23  2002     9    35   110   101    59     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
